StationID,Trendx100,Latitude,Longitude,SiteName
IA9132,2.55998178387,41.33,-94.0,WINTERSET
IA4735,1.61348234109,42.8,-96.17,LEMARS
IA6940,0.84789019688,41.0,-95.23,RED-OAK
IA3632,1.43189612047,41.65,-95.32,HARLAN
IA2999,0.195130661924,42.5,-94.2,FORT-DODGE
IA5796,5.33241091214,40.95,-91.55,MOUNT-PLEASANT
IA5952,5.89332373868,43.05,-92.32,NEW-HAMPTON
IA2977,3.53604882201,43.28,-93.63,FOREST-CITY
IA6103,0.485606739835,43.45,-93.22,NORTHWOOD
IA3584,1.58361481046,42.75,-93.2,HAMPTON-2-NW
IA2110,4.53478202785,43.32,-91.78,DECORAH-2-N
IA0157,4.06183450583,42.75,-92.78,ALLISON
IA3509,-2.82447726097,41.68,-94.5,GUTHRIE-CENTER
IA8568,3.13981711316,42.17,-92.0,VINTON
IA1233,5.38776066086,42.07,-94.85,CARROLL-2-SSW
IA1442,1.65895571565,42.75,-95.53,CHEROKEE
IA1402,1.53477975096,43.05,-92.67,CHARLES-CITY
IA0149,-0.129848026145,40.7,-93.36,Allerton
IA1833,0.0434692523114,41.0,-94.75,CORNING
IA4894,-1.9539236082,41.63,-95.8,LOGAN
IA0923,1.3820863481,43.07,-93.8,BRITT
IA1394,-0.735398558049,41.0,-93.32,CHARITON
IA4142,2.46381287621,42.53,-93.27,IOWA-FALLS
IA6566,0.60873423581,41.83,-94.12,PERRY
IA3290,-0.948900766912,41.0,-95.77,GLENWOOD
IA8706,3.06314699126,42.55,-92.4,WATERLOO
IA7678,-1.65196597541,41.33,-92.2,SIGOURNEY
IA7161,0.788770637371,42.4,-94.62,ROCKWELL-CITY
IA8266,-2.40255708377,41.78,-91.12,TIPTON
IA1731,4.39759796977,41.25,-91.37,COLUMBUS-JCT-2-SSW
IA0241,0.0890077868047,41.68,-93.6,ANKENY-3-S
IA1533,-1.4075423436,40.72,-95.03,CLARINDA
IA4705,-0.077672387694,41.57,-90.4,Le Claire L&D 14
IA6316,-1.92753337215,41.02,-93.75,OSCEOLA-3-WSW
IA7664,-0.924583599333,43.45,-95.72,SIBLEY-5-NNE
IA7708,0.725055319433,42.4,-96.38,SIOUX-CITY-WSO-AP
IA5992,-0.235434144023,41.7,-93.05,NEWTON
IA0385,1.02563914431,41.72,-94.93,AUDUBON
IA2364,1.8602811512,42.53,-90.65,DUBUQUE-LOCK-AND-DAM
IA7669,0.548450802608,40.75,-95.65,SIDNEY
IA2171,3.41721146977,42.03,-95.33,DENISON
IA6243,2.53085984463,42.02,-96.1,ONAWA
IA1319,4.6348555432,42.03,-91.58,CEDAR-RAPIDS-1
IA4063,-0.667257020325,41.37,-93.55,INDIANOLA-2-SSW
IA4389,3.20981109143,40.72,-91.97,KEOSAUQUA
IA1541,1.08430826367,42.73,-93.75,CLARION
IA1257,1.16373122034,42.3,-91.02,CASCADE
IA4381,0.31075292853,40.38,-91.37,KEOKUK LOCK DAM 19
IA0608,-2.07313030243,42.27,-90.42,BELLEVUE-L-AND-D-12
IA6389,1.21168965224,41.11,-92.45,Ottumwa
IA0600,-0.367055354533,41.88,-92.27,BELLE-PLAINE
IA6151,2.38066871648,41.32,-95.38,OAKLAND-2-E
IA3473,-2.32082528556,41.72,-92.73,GRINNELL-3-SW
IA6305,3.31212457885,43.28,-92.8,OSAGE
IA5198,0.50424076851,42.07,-92.93,MARSHALLTOWN
IA1954,-3.03744158694,43.38,-92.1,CRESCO-1-NE
IA7147,-0.981656543212,43.43,-96.17,ROCK-RAPIDS
IA8688,0.186800269359,41.28,-91.68,WASHINGTON
IA0807,-0.939500364737,42.04,-93.89,Boone
IA3517,4.73503072546,42.78,-91.1,GUTTENBERG-L-AND-D-10
IA6719,-0.0743765022665,42.7,-94.67,POCAHONTAS
IA0576,1.52427687433,40.68,-94.72,BEDFORD-1-NNW
